,p_values,scores
BP_Sys_med_Q0,4.07172869188e-14,57.1336790046
BP_Sys_mean_Q0,9.02315819517e-14,55.5690842416
BP_Dia_mean_Q0,1.29713888497e-10,41.3128422588
BP_Sys_min_Q0,6.82965504283e-10,38.068712648
BP_Dia_max_Q0,7.49554729656e-10,37.8871983892
BP_Mean_mean_Q0,9.64475950743e-10,37.3954353486
BP_Sys_max_Q0,2.46998544151e-09,35.5624874975
BP_Dia_min_Q0,3.99448759807e-09,34.6264159487
BP_Dia_med_Q0,8.08024160566e-09,33.2557034449
BP_Sys_first_Q0,1.15317809919e-07,28.0981202727
BP_Mean_max_Q0,1.23523876973e-07,27.9650905511
BP_Mean_med_Q0,1.56195950415e-07,27.511094249
BP_Mean_first_Q0,7.04127328929e-06,20.1819907089
BP_Sys_max_Q2,9.67219803778e-06,19.5750922834
BP_Dia_med_Q2,2.01357888427e-05,18.1764068379
BP_Mean_min_Q0,3.45875909733e-05,17.1474363984
BP_Mean_max_Q2,0.000159412059242,14.257643816
BP_Dia_first_Q0,0.000241446791875,13.477457167
BP_Mean_mean_Q2,0.00033471623731,12.8653838277
BP_Sys_mean_Q2,0.000349907453204,12.782337358
BP_Sys_med_Q2,0.000389463869595,12.5820760375
