,p_values,scores
RR_mean_Q3,2.60787686864e-59,263.753856838
RR_med_Q3,7.88073413873e-53,234.029690532
RR_max_Q3,1.4672835193e-43,191.538512045
HR_max_Q3,2.09114409565e-40,177.091994329
RR_min_Q3,2.28618594261e-34,149.450304319
HR_mean_Q3,1.2307768682e-32,141.532155425
HR_med_Q3,4.91117362488e-31,134.211615452
HR_first_Q3,1.49317735617e-30,132.004003722
RR_first_Q3,7.39053803005e-27,115.124585879
HR_min_Q3,5.93687104989e-25,106.429455528
RR_mean_Q0,2.40522283207e-18,76.3257886539
RR_med_Q0,3.46359160726e-16,66.5200132061
RR_max_Q0,2.56559152986e-14,58.0421657981
RR_min_Q0,2.83193050414e-14,57.8478728758
RR_mean_Q1,6.9494345524e-12,47.0416429793
RR_std_Q3,1.53366665904e-11,45.490682598
RR_first_Q0,1.67738888154e-11,45.3152388011
HR_std_Q3,2.04475120627e-11,44.9274139409
HR_max_Q1,1.37258281434e-09,36.7073878736
RR_max_Q1,2.22433696875e-09,35.7665556734
RR_med_Q1,1.1208936561e-08,32.6194164737
RR_min_Q1,1.3500903229e-06,23.3504911555
HR_mean_Q0,3.23501497322e-06,21.6718644009
HR_first_Q1,4.97511953088e-06,20.8468416812
HR_med_Q0,5.75512573126e-06,20.5679614739
HR_max_Q0,7.64525373744e-06,20.0245935891
HR_first_Q0,1.66309937848e-05,18.5407546403
HR_min_Q1,2.05915279084e-05,18.1337856713
HR_mean_Q1,6.35940573801e-05,15.9924957885
HR_std_Q1,6.94129230801e-05,15.8267846804
HR_min_Q0,0.000115030615864,14.8724525692
HR_med_Q1,0.000166105041694,14.1802481048
RR_std_Q1,0.000228628096468,13.5798369306
