,p_values,scores
Creat_max_Q3,3.57886146524e-21,89.1942583729
Creat_mean_Q3,6.82439781072e-17,69.7230487496
Creat_med_Q3,4.70821149871e-16,65.9148904214
Creat_min_Q3,4.9722377127e-16,65.8073532767
WBC_mean_Q3,5.03630933826e-15,61.246301025
WBC_med_Q3,5.45402197051e-15,61.0894283845
WBC_min_Q3,1.44389329577e-14,59.1731677385
Creat_first_Q3,2.44740138034e-14,58.1349439262
WBC_max_Q3,9.57016193014e-14,55.4533878978
Gluc_mean_Q3,3.53172107361e-11,43.857517074
Gluc_max_Q3,8.3193441305e-11,42.1812595701
WBC_first_Q3,6.98689433966e-10,38.0243013937
Gluc_med_Q3,1.08000263668e-08,32.6916485212
WBC_min_Q1,1.27593270318e-08,32.3676459161
Hemat_mean_Q0,6.00280329257e-08,29.3625008959
Gluc_min_Q3,9.05537126966e-08,28.5661006292
Creat_delta_Q3,1.77363495529e-07,27.2653278697
Creat_slope_Q3,1.77363495529e-07,27.2653278697
Hemat_min_Q0,4.44171319829e-07,25.4922160278
Hemat_med_Q0,4.69349107549e-07,25.3858463664
Hemat_min_Q3,5.85619455163e-07,24.9590186898
Hemat_max_Q0,9.04666575766e-07,24.1210354668
Hemat_first_Q0,5.20490668799e-06,20.7603662255
WBC_first_Q1,5.30204585275e-06,20.7249565482
Hemat_first_Q3,5.8551539866e-06,20.5349759525
WBC_med_Q1,8.62967929004e-06,19.7930299949
WBC_mean_Q1,1.16804915632e-05,19.2147900297
Hemat_med_Q3,1.21453564495e-05,19.1402935914
Creat_mean_Q2,2.38477424867e-05,17.8543187388
Gluc_max_Q0,2.41229558863e-05,17.8324843355
Creat_min_Q2,3.17458416814e-05,17.3103180553
Hemat_mean_Q3,3.43573019789e-05,17.1601257215
Creat_std_Q0,6.7459234907e-05,15.8808109858
Hemat_max_Q3,0.000186080429927,13.9666686629
Creat_min_Q1,0.000216142745793,13.685273829
Gluc_min_Q1,0.000218648766051,13.6636269068
Creat_med_Q2,0.00025465931358,13.3775120582
Gluc_first_Q3,0.000256447862884,13.3643859572
WBC_slope_Q0,0.000294888115149,13.1025879622
Creat_max_Q2,0.000391578372022,12.5719567299
Creat_first_Q2,0.000460226911413,12.2702893309
WBC_max_Q1,0.000504591912475,12.0986186453
WBC_delta_Q3,0.000614350789096,11.7319835424
